Share,Opening,Closing,High,Lowest,Avg,h-l,-161.8,-138.2,-1,-76.4,-61.8,-50,-38.2,-23.6,Avg ,23.6,38.2,50,61.8,76.4,1,138.2,161.8
20MICRONS,152.15,162.37,165,146.35,158.298,18.65,155.28043,155.72057,139.648,144.0494,146.7723,148.973,151.1737,153.8966,158.298,162.6994,165.4223,167.623,169.8237,172.5466,176.948,160.87543,161.31557
21STCENMGM,28.82,30.34,30.34,28.25,29.216,2.09,28.877838,28.927162,27.126,27.61924,27.92438,28.171,28.41762,28.72276,29.216,29.70924,30.01438,30.261,30.50762,30.81276,31.306,29.504838,29.554162
360ONE,931,1012.65,1022,906.05,966.376,115.95,947.61529,950.35171,850.426,877.7902,894.7189,908.401,922.0831,939.0118,966.376,993.7402,1010.6689,1024.351,1038.0331,1054.9618,1082.326,982.40029,985.13671
3IINFOLTD,14.83,15.69,15.93,14.83,15.51,1.1,15.33202,15.35798,14.41,14.6696,14.8302,14.96,15.0898,15.2504,15.51,15.7696,15.9302,16.06,16.1898,16.3504,16.61,15.66202,15.68798
3MINDIA,29750,31475,32060,29130,30433.682,2930,29959.608,30028.756,27503.682,28195.162,28622.942,28968.682,29314.422,29742.202,30433.682,31125.162,31552.942,31898.682,32244.422,32672.202,33363.682,30838.608,30907.756
3PLAND,31,35.35,36.1,31,34.268,5.1,33.44282,33.56318,29.168,30.3716,31.1162,31.718,32.3198,33.0644,34.268,35.4716,36.2162,36.818,37.4198,38.1644,39.368,34.97282,35.09318
5PAISA,285.37,305.11,310,275.7,296.07,34.3,290.52026,291.32974,261.77,269.8648,274.8726,278.92,282.9674,287.9752,296.07,304.1648,309.1726,313.22,317.2674,322.2752,330.37,300.81026,301.61974
63MOONS,501.45,549.7,567.8,486.4,530.35,81.4,517.17948,519.10052,448.95,468.1604,480.0448,489.65,499.2552,511.1396,530.35,549.5604,561.4448,571.05,580.6552,592.5396,611.75,541.59948,543.52052
AAATECH,92.21,98.02,101,91.98,97.292,9.02,95.832564,96.045436,88.272,90.40072,91.71764,92.782,93.84636,95.16328,97.292,99.42072,100.73764,101.802,102.86636,104.18328,106.312,98.538564,98.751436
AADHARHFC,443,478.6,480.95,435,465.088,45.95,457.65329,458.73771,419.138,429.9822,436.6909,442.113,447.5351,454.2438,465.088,475.9322,482.6409,488.063,493.4851,500.1938,511.038,471.43829,472.52271
